ID,Pais,Nombre,Edad,Correo,FechaRegistro,Monto
1,mejico,,30,,15/02/2023,250
2,Estados Unidos,Ana,30,usuario@@dominio.com,2023-13-01,250
3,BraSil,Ana,30,usuario@example.com,15/02/2023,100.5
4,Mexico,,30,test@test.com,15/03/2023,250
5,Estados Unidos,María,30,correo_invalido,2023-13-01,100.5
6,BraSil,Luis,35,usuario@example.com,,
7,BraSil,Luis,25,,,100.5
8,,Luis,30,,15/02/2023,-50
9,USA,,30,usuario@@dominio.com,,99999
10,EUA,Ana,35,correo_invalido,15/02/2023,250
11,canadá,,30,test@test.com,15/02/2023,-50
12,mejico,,30,usuario@@dominio.com,,-50
13,EUA,Lucía,30,usuario@@dominio.com,,
14,Brasil,Ana,20,test@test.com,01/01/2023,cien
15,mexico,Lucía,30,test@test.com,2023-13-01,
16,CAN,José,30,,15/02/2023,99999
17,mexico,Ana,30,usuario@@dominio.com,,100.5
18,Canada,Ana,30,usuario@example.com,2023-13-01,99999
19,caNADA,Ana,35,usuario@example.com,,100.5
20,CAN,Luis,30,usuario@@dominio.com,,250
21,Usa,Luis,30,test@test.com,01/01/2023,-50
22,mexico,Lucía,30,correo_invalido,15/02/2023,
23,BraSil,Lucía,30,test@test.com,15/02/2023,cien
24,Brasil,Ana,30,test@test.com,15/03/2023,
25,BraSil,Lucía,20,correo_invalido,01/01/2023,250
26,Mexico,Luis,35,test@test.com,2023-13-01,
27,canadá,,25,correo_invalido,01/01/2023,cien
28,Usa,,35,usuario@@dominio.com,2023-13-01,cien
29,brasil,,30,correo_invalido,15/02/2023,-50
30,MX,Lucía,30,usuario@example.com,15/03/2023,-50
31,BraSil,José,35,correo_invalido,15/03/2023,250
32,,Luis,30,test@test.com,15/02/2023,-50
33,CAN,José,30,usuario@@dominio.com,,99999
34,brasil,Lucía,30,correo_invalido,01/01/2023,99999
35,MX,María,20,test@test.com,15/03/2023,100.5
36,Cánada,,25,correo_invalido,,-50
37,caNADA,,30,usuario@@dominio.com,2023-13-01,100.5
38,EUA,Ana,35,usuario@@dominio.com,15/03/2023,
39,mejico,,30,usuario@example.com,2023-13-01,100.5
40,EUA,,35,usuario@@dominio.com,,250
41,mejico,Luis,30,test@test.com,2023-13-01,cien
